,公司名,城市,公司人数,公司领域,职位,发布时间,工资,工作年限,学历,岗位职责,岗位要求
0,上海众旦信息科技有限公司,上海,500-2000人,电商,电商交易产品专家,2020-06-01 15:32:27,25k-50k,5-10年,本科,"1、结合公司业务规划、负责电商核心购买交易链路产品功能规划与落地；2、对产品结果和经营指标负责，以用户体验为核心设计产品方案，提升购买转化率，独立承担交易线产品架构设计、产品规划、 以及实施路径；3、负责推进设计、评审、研发、测试、上线全流程，对整个产品的进度和质量负责，负责系统相关的用户培训和宣导；4、参与运营策略讨论，持续跟踪产品运营状况，分析运营数据，根据用户反馈、数据效果、产品策略不断优化、提升产品质量和用户体验。

",1、本科及以上学历，5年以上产品工作经验，有头部电商平台经验者优先；2、熟悉电商核心业务流程，有良好的逻辑思维和用户体验设计能力，强用户及行为数据分析，注重过程和结果，关注细节，抗压能力强；3、具备良好的沟通、表达能力及推动力，丰富的跨部门合作经验，良好的项目管理意识，排期意识，有序推进项目落地；4、熟练运用Axure，Visio，Xmind等产品设计工具，PRD撰写能力娴熟；熟练运用PPT等办公工具，具有较强的数据可视化及产品汇报能力。
1,新蛋科技（成都）有限公司,上海,500-2000人,电商,跨境电商招商,2020-06-06 11:17:56,10k-20k,3-5年,本科,1.根据跨境电商平台的销售目标和策略，开发和招募中国境内商家及引入产品，售卖全球市场;2.在线产品的比价，竞品对比，为产品价格提供有效建议；3.与商家保持良好的沟通和合作，帮助商家疏通周转环节，提升业绩和订单转化；4.与商家合作开发产品和促销计划，监控库存和价格，帮助商家有效的实施并跟进促销计划，实现促销目标和销售提升。,"1.本科学历，市场营销或经济专业尤佳；英文良好，读写流利，该岗位日常需处理英文邮件、英文工作系统和网站；2.三年以上招商或业务拓展经验，至少两年以上电商平台招商相关经验，有跨境电商背景优先；3.具备较强的渠道、商品开拓经验和招商谈判技巧、沟通协调能力、敏锐的市场洞察力与判断力；4.对工作有热情，执行力强，能吃苦耐劳，能适应快速变化的工作节奏。

欢迎访问北美官网"
2,新蛋科技（成都）有限公司,上海,500-2000人,电商,跨境电商运营专员,2020-06-06 11:17:56,8k-10k,1-3年,本科,"1.负责跨境电商平台的产品选品，分析及及挖掘商家需求，协助达成销售目标；
2.负责产品竞价分析，提供有效的价格建议，协助商家优化产品类目以及提升销售表现；
3.与商家有效的合作，完成产品发布和促销计划，监控库存，确保促销活动的实施和达成目标，结果复盘；
 
","1. 本科及以上学历，良好的英文读写能力，熟练浏览及操作英文网站;
2. 三年以上互联网运营经验，有商家运营，品类运营经验优先;
3. 良好的责任心和客户服务意识，团队合作能力强；
4. 良好的自我驱动意识和主动性，有探索精神，能适应快速变化的环境和任务。

欢迎访问北美官网"
3,上海目荻电子商务有限公司,上海,15-50人,消费生活,资深电商平面设计师,2020-06-06 11:06:01,10k-20k,3-5年,不限,"高工资、扁平团队、发展空间、团队氛围好
",在电商设计师岗位上，你要负责下面几件事
4,北京妙医佳健康科技集团有限公司,上海,150-500人,移动互联网,社交电商产品规划和推动岗,2020-06-06 10:53:27,10k-18k,1-3年,本科,1、规划产品图谱，设计、优化、迭代。 ,逻辑思维能力、文字表达能力。互联网线上产品策划、运营经验优先。2、产品战略、策略规划，新产品上市营销策划。 专项要求
5,北京妙医佳健康科技集团有限公司,上海,150-500人,移动互联网,社交电商运营,2020-06-06 10:53:27,10k-18k,1-3年,本科,1、负责招募、营销策略、规划与执行，效果跟踪优化。2、负责管理、推动各联盟线上业务，组织、跟踪线下活动。3、负责团队推广活动与绩效考核管理。4、参与商务合作沟通事宜，跟进项目，追踪进度，确保项目合作顺利进行；维护与各渠道合作伙伴之间良好的合作关系，推进各项目的进展； 关注市场动态，不断拓展有效新渠道、新产品，获取新资源，并制定针对客户需求的解决方案；研究市场同类竞品，定期整理项目数据进行项目反馈，提出意见，进行改进。,1、大学本科及以上2、市场触觉、目标人群、竞品敏感者优先。有保险公司渠道推广经验2年以上优先。
6,致美纷享（北京）科技有限公司,上海,150-500人,"电商,消费生活",电商主播（带货奢侈品）,2020-06-06 10:15:20,25k-50k,1年以下,大专,"1、依照公司安排在APP端外（淘宝、抖音）和端内进行奢侈品类目视频直播；
2、独立完成直播内容，与网友互动，引导粉丝购买推荐的商品，活跃直播气氛，引导并达成销售；
3、配合公司所提供的培训及其他活动，努力提高直播技巧 ；
","1、对时尚产品长期关注并有自己的理解，喜欢或者熟悉奢侈品（包包/珠宝配饰/腕表）；
2、热爱新媒体传播和电商直播带货的形式；
3、吃苦耐劳、有很强的语言组织和现场应变能力；
4、擅长穿搭、形象气质佳、镜头感好；
5、播音主持、艺术影视传媒、航空类专业优先；电视购物主持、时尚买手、大牌专柜导购、代购经验优先；

我们将提供"
7,致美纷享（北京）科技有限公司,上海,150-500人,"电商,消费生活",奢侈品买手经理（二手奢侈品电商）,2020-06-06 10:15:20,15k-25k,3-5年,本科,"-  负责开发与拓展高端客户群体和渠道的方案的制订；
-  拓展时尚品牌和渠道合作资源，促成B端供货和销售合作；
-  负责对现有客户进行定期维护和服务，及时有效地为大客户提供高品质服务以保证客户满意；
-  负责所管辖区所有合作意向客户资料的收集、整理，并建立档案；
-  负责客户时尚品类商品的线上审核、分类整理、初步鉴定、处理反馈等工作，确保商品质量符合要求；
-  跟踪合作效果，分析数据并反馈，调整政策方案等。

我们希望你是这婶儿的~
-  希望有一定时尚消费、高端零售行业的运营或拓展经验及团队管理经验；
- 是时尚品牌品类熟悉，并高度热爱时尚行业；
-  较强沟通能力和拓展能力；
-  一年以上经验大型互联网电商经验，本科以上学历；
- 具备二手奢侈品行业渠道及供应商资源",
8,上海掌小门教育科技有限公司,上海,2000人以上,"移动互联网,教育",电商用户运营,2020-06-06 09:55:57,8k-15k,3-5年,本科,"1、负责电商平台整体运营（包括但不限于京东、天猫），负责平台规划、平台优化、宣传推广、活动策划、及日常运营工作（包含产品、销售、客服等各项业务运营流程设计与运营优化）；
2、根据公司经营目标制定相应的运营推广策略与执行方案，并分解到具体的季度和月份，跟进执行，对全年销售目标达成负责； 
3、负责公司产品的效果营销推广的维护和对接工作，对整体投放效果负责；
4、负责文案创意、图片物料、推广页面和网站策划及执行工作，不断优化推广效果 ；
5、对数据敏感，能细化的对活动运营的各项数据进行分析，并且能根据分析结果给出提升思路。

","1.本科以上学历，有3-5年以上天猫店铺运营管理经验，有618，双11大促统筹经验优先； 
2.熟悉店铺推广，运营及各种营销工具，能够独立策划并执行相关推广及营销活动； 
3.良好的执行和沟通能力，善于团队合作，抗压性好，能够适应电商行业变化节奏。"
9,上海掌小门教育科技有限公司,上海,2000人以上,"移动互联网,教育",电商推广运营,2020-06-06 09:55:57,10k-15k,1-3年,本科,"1、负责电商平台整体运营（包括但不限于京东、天猫），负责平台规划、平台优化、宣传推广、活动策划、及日常运营工作（包含产品、销售、客服等各项业务运营流程设计与运营优化）；
2、根据公司经营目标制定相应的运营推广策略与执行方案，并分解到具体的季度和月份，跟进执行，对全年销售目标达成负责； 
3、负责公司产品的效果营销推广的维护和对接工作，对整体投放效果负责；
4、负责文案创意、图片物料、推广页面和网站策划及执行工作，不断优化推广效果 ；
5、对数据敏感，能细化的对活动运营的各项数据进行分析，并且能根据分析结果给出提升思路。

","1.本科以上学历，有3-5年以上天猫店铺运营管理经验，有618，双11大促统筹经验优先； 
2.熟悉店铺推广，运营及各种营销工具，能够独立策划并执行相关推广及营销活动； 
3.良好的执行和沟通能力，善于团队合作，抗压性好，能够适应电商行业变化节奏。"
